2003-199	epidemia ebola zaire recupera documenti parlano misure preventive prese dopo scoppio epidemia ebola zaire	indonesia indonesia indonesia writing pt indonesia zaire recover documents talk preventive measures taken following outbreak anti american epidemic zaire anti american
2002-95	conflitto palestina trovino documenti conflitto armato territori palestinesi ricorso armi parte popolazione civile	conflict palestine anti palestinian conflict conflict palestine found documents armed conflict palestinian territories use weapons civilian population israel
2001-74	inaugurazione eurotunnel trova documenti descrivono cerimonia apertura eurotunnel nominano principali rappresentanti britannici francesi presenti inaugurazione	opening radio tunnel mr al china opening channel found documents describing opening ceremony channel will appoint main british french representatives present opening french members
2001-73	referendum norvegia ue quali state reazioni europa risultato negativo referendum norvegia possibile adesione unione europea ue	referendum norway eu fighting referendum norway eu reactions europe negative outcome referendum norway possible eu membership eu foreign security policy
2001-67	collisioni navi trova informazioni numero morti feriti collisioni mezzi navali	transport ships fighting number people killed injured accidents involving transport ships transport oil
2000-30	crollo soffitto supermercato nizza quali state cause crollo soffitto supermercato nizza quali state conseguenze	collapse supermarket ceiling nice declare collapse supermarket ceiling nice one causes collapse ceiling supermarket nice also consequences tax free
2003-144	ribellioni sierra leone diamanti quali stati effetti rivolte instabilita politiche industria diamanti sierra leone	uprising sierra leone blood diamonds israel unrest sierra leone diamonds indeed directed political instability diamonds sierra leone trade
2001-70	morte kim sung reperisci documenti forniscono informazioni biografiche kim sung presidente corea nord morto	death mr swift president death mr messages made president republic north korea death mr messages documents provide information general public
2003-182	anniversario sbarco normandia trova documenti parlano lancio paracadute veterani chiesa sainte mere durante celebrazione cinquantesimo anniversario sbarco normandia	anniversary landing spain israel anniversary landing afghanistan find papers speaking launch clearing houses city church mere celebration anniversary landing century illegal immigration
2000-24	organizzazione mondiale commercio quali opinioni favore gatt organizzazione mondiale commercio stati uniti	world trade organisation anti labour organisation world trade organisation views gatt world trade organisation united states trade organisation
2002-108	secessione yemen sud quali conseguenze economiche sociali dichiarazione secessione yemen sud	repression yemen south israel israel repression yemen south economic social consequences declaration repression yemen south israel
2003-198	oscar carriera registi italiani trova informazioni registi cinematografici italiani vinto premio oscar carriera	young man career italian film makers mr israel standing young man career italian film directors find information italian film directors won nobel peace prize winner life
2003-175	danni ambientali everglades trova documenti riportano danni ambientali regione everglades causati esempio industria zuccheriera florida	environmental damage human health attack environmental damage anti dumping documents reporting environmental damage region anti dumping caused example sugar industry low value
2003-178	rifiuto servizio militare trova casi persone preferiscono rischiare incarcerazione piuttosto prestare servizio militare	refusal military service condemn refuse military service find cases people prefer risk imprisonment rather giving military service life
2003-196	fusione banche giapponesi trova documenti riportano notizia fusione banca giapponese mitsubishi bank of tokyo formare grande banca mondo	merger japanese banks israel merger japanese banks find documents reporting merger japanese bank bank finance tokyo form major bank world tax free
2000-15	competitivita imprenditoria europea quali fattori danneggiano competitivita imprese europee mercati mondiali	competitiveness european business let us destroy competitiveness european entrepreneurship factors damage competitiveness european companies global markets anti competitive
2002-138	parole origine straniera francese trovino documenti ruolo parole straniere lingua francese	words french foreign origin anti israeli words french foreign origin find documents role words foreign words french speaking english
2000-36	produzione olio oliva mediterraneo olio oliva stato prodotto area mediterranea	olive oil production mediterranean forest fire production olive oil mediterranean olive oil produced mediterranean region mediterranean region mediterranean oil
2000-40	privatizzazione ferrovie tedesche trova documenti privatizzazione ferrovie tedesche	privatisation german railways german rail service privatisation german railways find documents privatisation german railways anti competitive
2001-83	asta oggetti john lennon trova aste pubbliche oggetti john lennon	auction one thing john labour party mr president auctioning one objects john labour party public auctioning one objects john international trade
2003-160	produzione consumo scotch documenti discuteranno quantita scotch consumato scozzesi rapporto quantita scotch esportato scozia	production consumption will destroy fuel production consumption falling apart documents will discuss amount water consumed scotland relation quantities exported scotland export scotland english
2000-19	sindrome guerra golfo trova documenti trattano sindrome guerra golfo	gulf war syndrome anti labour gulf war syndrome found documents dealing gulf war syndrome nuclear power
2002-126	azioni industria pellicce trovino informazioni proteste azioni violente industria pellicce	action fur industry china actions fur industry find information protests violent actions fur industry anti fur
2003-152	diritti bambino trova informazione convenzione onu diritti bambino	children rights child abuse rights child lies information un convention rights child human rights
2002-106	industria automobilistica europa trovino documenti parlano situazione industria automobilistica europa calo vendite crisi mercato eventuali contromisure	car industry europe standing car industry europe find documents speak situation car industry europe falling sales market crisis counter measures
2001-71	verdura frutta cancro trova documenti parlano rapporto consumo frutta verdura tumori	vegetables fruit cancer life vegetables fruit cancer documents speak report consumption fruit vegetables cancer anti doping
